구분코드,번호,연결된 점,,,,x좌표,y좌표
C,B601,B601,B602,,,25.5,54
C,B602,B601,B602,,,44,63
C,B603,B601,B602,,,62.5,72.5
C,B501,B501,,,,37.5,57
C,B502,B501,,,,63,70
C,B312,B303,,,,38,224
C,B311,B303,,,,52,224
C,B310,B303,,,,66,224
C,B309,B303,,,,80,224
C,101,105,108,,,91.5,150
C,314,301,302,,,91,72
C,315,301,302,,,105,72
C,316,302,303,,,125.5,72
C,317,302,303,,,145.5,72
C,321,302,303,,,145.5,72
C,319,302,303,,,159.6,72
C,318,302,303,,,169.5,72
C,320,302,303,,,169.5,72
C,313,301,317,,,88,75
C,312,301,317,,,81,88
C,321,306,305,307,,147,88.5
C,311,301,317,,,69,111
C,308,311,319,,,105,122.5
C,305,312,320,,,135,120
C,310,317,323,,,57.5,132
C,303,320,321,,,140.5,130.5
C,304,320,321,,,145,130.5
C,302,320,321,,,150.5,130.5
C,301,320,321,314,322,168,130.5
C,401,421,422,,,177,132
C,402,421,,,,166,132
C,403,420,421,,,160,132
C,404,420,421,,,155,132
C,405,420,421,,,150,132
C,406,420,,,,140,132
C,407,420,421,,,145,132
C,408,412,419,,,98,132
C,409,412,419,,,82,123
C,410,407,412,,,91,105
C,411,407,412,,,96,93
C,412,418,424,,,57,133
C,413,402,418,,,70,111
C,414,402,418,,,80,90
C,415,402,418,,,89,73
C,416,402,,,,92,72
C,417,402,403,,,105,72
C,418,403,404,,,126,72
C,419,403,404,,,147,72
C,420,404,405,,,170,72
C,421,408,409,,,142,90
C,422,409,410,,,171,90
C,423,401,417,,,212,111
C,424,401,417,,,215,105
C,425,401,417,,,222,93
C,426,401,417,,,225,87
C,427,401,417,,,229,80
C,428,401,417,,,232,75
C,429,401,417,,,236,68
C,430,401,417,,,236,68
C,431,401,417,,,232,75
C,432,401,417,,,229,80
C,433,401,417,,,225,87
C,434,401,417,,,222,92
C,435,401,417,,,219,99
C,436,401,417,,,215,105
C,437,401,417,,,212,111
C,438,417,423,,,209,118
C,439,417,423,,,206,124
C,440,417,423,,,203,128
C,441,422,423,,,200,130
C,501,521,522,,,177,132
C,502,520,521,,,160,132
C,503,520,521,,,143,132
C,504,520,521,,,144,132
C,505,510,511,,,120,123
C,506,518,519,,,102,132
C,507,505,518,,,80,125
C,508,505,518,,,84,118
C,509,505,518,,,88,112
C,510,505,518,,,92,103
C,511,505,518,,,95,95
C,512,517,524,,,57,133
C,513,502,517,,,69,111
C,514,502,517,,,80,90
C,515,502,517,,,88,76
C,516,502,503,,,91,72
C,517,502,503,,,105,72
C,518,503,504,,,126,72
C,519,503,504,,,147,72
C,520,503,504,,,171,72
C,521,506,507,,,146,90
C,522,507,508,,,160,90
C,523,507,508,,,172,90
C,524,501,516,,,212,111
C,525,501,516,,,216,105
C,526,501,516,,,222,92
C,527,501,516,,,225,87
C,528,501,516,,,229,80
C,529,501,516,,,232,74
C,530,501,516,,,235,68
C,531,501,516,,,235,68
C,532,501,516,,,232,74
C,533,501,516,,,229,80
C,534,501,516,,,225,87
C,535,501,516,,,222,92
C,536,501,516,,,219,99
C,537,501,516,,,216,105
C,538,501,516,,,212,111
C,539,516,523,,,209,118
C,540,516,523,,,206,124
C,541,516,523,,,203,128
C,542,516,523,,,199,131
C,601,621,622,,,177,132
C,602,620,621,,,160,132
C,603,620,621,,,144,132
C,604,620,621,,,145,132
C,605,611,612,,,121,123
C,606,618,619,,,102,132
C,607,605,618,,,83,120
C,608,605,618,,,90,107
C,609,605,618,,,93,99
C,610,605,618,,,96,95
C,611,617,624,,,58,132
C,612,602,617,,,69,112
C,613,602,617,,,80,91
C,614,602,617,,,88,75
C,615,602,603,,,91,72
C,616,602,603,,,105,72
C,617,603,604,,,126,72
C,618,603,604,,,146,72
C,619,603,604,,,171,72
C,620,607,608,,,145,90
C,621,607,608,,,159,90
C,622,607,608,,,172,90
C,623,601,616,,,212,111
C,624,601,616,,,217,102
C,625,601,616,,,222,93
C,626,601,616,,,225,86
C,627,601,616,,,228,80
C,628,601,616,,,232,74
C,629,601,616,,,235,67
C,630,601,616,,,235,67
C,631,601,616,,,232,74
C,632,601,616,,,228,80
C,633,601,616,,,225,86
C,634,601,616,,,222,93
C,635,601,616,,,219,99
C,636,601,616,,,215,105
C,637,601,616,,,212,111
C,638,616,623,,,209,118
C,639,616,623,,,206,124
C,640,616,623,,,203,128
C,641,616,623,,,198,131
C,701,721,722,,,175,132
C,702,720,721,,,153,132
C,703,719,720,,,132,132
C,704,719,720,,,111,132
C,705,719,720,,,93,132
C,706,719,720,,,79,132
C,707,719,720,,,139,132
C,708,719,720,,,132,132
C,709,719,720,,,124,132
C,710,719,720,,,117,132
C,711,719,720,,,111,132
C,712,712,713,,,139,115
C,713,712,713,,,132,115
C,714,712,713,,,124,115
C,715,712,713,,,117,115
C,716,712,713,,,111,115
